time,event,details
Mon May  6 10:13:13 2019,typed,ass
Mon May  6 10:13:22 2019,read,fuck
Mon May  6 10:13:22 2019,read,ass
Mon May  6 10:13:57 2019,saw,dog
Mon May  6 10:15:01 2019,read,ass
Mon May  6 10:15:01 2019,read,ass
Mon May  6 10:15:11 2019,read,ass
Mon May  6 10:15:11 2019,read,fuck
Mon May  6 10:15:11 2019,read,ass
Mon May  6 10:15:20 2019,read,ass
Mon May  6 10:15:20 2019,read,fuck
Mon May  6 10:15:20 2019,read,ass
Mon May  6 10:15:20 2019,read,ass
Mon May  6 10:15:20 2019,read,ass
Mon May  6 10:15:32 2019,read,ass
Mon May  6 10:15:32 2019,read,fuck
Mon May  6 10:15:32 2019,read,ass
Mon May  6 10:15:32 2019,read,ass
Mon May  6 10:15:32 2019,read,ass
Mon May  6 10:15:32 2019,read,ass
Mon May  6 10:15:32 2019,read,fuck
Mon May  6 10:15:32 2019,read,ass
Mon May  6 10:15:32 2019,read,ass
Mon May  6 10:15:32 2019,read,fuck
Mon May  6 10:15:32 2019,read,ass
Mon May  6 10:15:32 2019,read,ass
Mon May  6 10:15:32 2019,read,ass
