time,event,details
Mon Apr 15 10:53:46 2019,typed,fuck
Mon Apr 15 10:53:53 2019,saw,dog
Mon Apr 15 10:53:59 2019,read,fuck
Mon Apr 15 10:54:11 2019,typed,ass
Mon Apr 15 10:54:15 2019,read,fuck
Mon Apr 15 10:54:16 2019,typed,gook
Mon Apr 15 10:54:23 2019,read,ass
Mon Apr 15 10:54:23 2019,read,fuck
Mon Apr 15 10:54:33 2019,read,ass
Mon Apr 15 10:54:33 2019,read,fuck
Mon Apr 15 10:54:43 2019,read,fuck
Mon Apr 15 10:54:43 2019,read,fuck
Mon Apr 15 10:54:43 2019,read,ass
Mon Apr 15 10:54:43 2019,read,fuck
Mon Apr 15 10:54:43 2019,read,ass
Mon Apr 15 10:54:43 2019,read,fu
Mon Apr 15 10:54:51 2019,read,ass
Mon Apr 15 10:54:51 2019,read,fuck
Mon Apr 15 10:54:59 2019,read,fuck
