time,event,details
Mon Apr 15 11:33:22 2019,read,fuck
Mon Apr 15 11:33:29 2019,typed,ass
Mon Apr 15 11:33:31 2019,typed,fuck
Mon Apr 15 11:33:53 2019,saw,dog
Mon Apr 15 11:34:06 2019,saw,dog
Mon Apr 15 11:34:37 2019,read,fuck
Mon Apr 15 11:34:37 2019,read,ass
Mon Apr 15 11:34:37 2019,read,fuck
Mon Apr 15 11:34:47 2019,read,ass
Mon Apr 15 11:34:57 2019,read,fuck
Mon Apr 15 11:35:07 2019,read,fuck
Mon Apr 15 11:35:07 2019,read,fuck
Mon Apr 15 11:35:07 2019,read,fuck
Mon Apr 15 11:35:07 2019,read,ass
Mon Apr 15 11:35:19 2019,read,fuck
Mon Apr 15 11:35:19 2019,read,fuck
Mon Apr 15 11:35:29 2019,read,fuck
Mon Apr 15 11:35:40 2019,read,fuck
Mon Apr 15 11:35:50 2019,read,fuck
Mon Apr 15 11:36:00 2019,read,fuck
Mon Apr 15 11:36:10 2019,read,fuck
Mon Apr 15 11:36:10 2019,read,fuck
Mon Apr 15 11:36:10 2019,read,fuck
Mon Apr 15 11:36:22 2019,read,fuck
Mon Apr 15 11:36:22 2019,read,fuck
